0,1,2,3,4,5,6,7,8,9
,8.071,,,,,,,,
7.289,13.1357,14.9498,24.6211,32.8924,41.8757,49.135,,,
,14.9312,2.4249,11.2312,17.5921,26.0731,31.6097,40.9358,49.1971,
,25.3232,11.6789,14.0869,14.9071,20.9458,24.9549,33.0526,40.7283,49.0096
,37.139,18.375,15.769,4.9417,11.3485,12.6075,20.1772,25.0778,33.6591
,,27.6766,22.9216,12.4165,12.0506,8.6677,13.3694,16.5619,23.6637
,,35.0643,28.911,15.6987,10.6494,0,3.125,3.0199,9.8731
,,,38.8,24.3036,17.3381,5.3455,2.8634,0.1014,5.6839
,,,,31.9146,23.1154,8.0078,2.8556,-4.737,-0.8088
,,,,,31.9644,16.5668,10.6803,1.9517,0.8731
